"id";"type";"text";"source_url";"markers";"orphan_blocks"
"1";"TYPE_2_SINGLE_SUBJECT";"На диаметре AB данной полуокружности постройте точку M, а на дуге — точку N так, чтобы AM = AN и расстояние между M и N было наибольшим.";"data/input/razbor.txt";"тире";"2"
"2";"TYPE_3_OTHER";"Вершину С треугольника АВС примите за начало координат, а ось проекций — за ось абсцисс.";"data/input/razbor.txt";"тире";"1"
"3";"TYPE_3_OTHER";"Вычислите координаты точек M и N, а затем — координаты векторов MP и QN.";"data/input/razbor.txt";"тире";"1"
"4";"TYPE_3_OTHER";"Сами отрезки условимся называть перекладинами креста, а точку их пересечения — центром креста.";"data/input/razbor.txt";"тире";"1"
"5";"TYPE_3_OTHER";"Далее на CA отметим точку R так, чтобы AR = AQ; на BC — точку P’ так, чтобы CP’ = CP; на AB — точку Q’ так, чтобы BQ’ = BP’, и т.д.";"data/input/razbor.txt";"тире";"2"
"6";"TYPE_3_OTHER";"Выберем на одной из них точку Е1, а на другой — точку Е2, отличные от О.";"data/input/razbor.txt";"тире";"1"
"7";"TYPE_3_OTHER";"Примем вершину С треугольника АВС за начало аффинной системы координат, а векторы СА и СВ — за базисные векторы.";"data/input/razbor.txt";"тире";"1"
"8";"TYPE_3_OTHER";"В единичном квадрате требуется разместить семь точек: четыре — в вершинах, и три — внутри квадрата.";"data/input/razbor.txt";"тире";"1"
"9";"TYPE_1_MULTIPLE_SUBJECTS";"Исходя из данных таким образом оснований, можно возвести всё здание проективной геометрии двумя способами, находящимися в отношении взаимности друг к другу: при одном способе берём за исходный материал точки, при другом — прямые, если речь идёт о геометрии на плоскости, или берём плоскости, если мы занимаемся геометрией в пространстве.";"data/input/razbor.txt";"тире";"1"
"10";"TYPE_1_MULTIPLE_SUBJECTS";"Для того чтобы ситуация была яснее, на рис. 15 и 16 удобно взять начало координат в точке самопересечения кривой, а на рис. 17 — в левой из двух точек пересечения.";"data/input/razbor.txt";"тире|союз «а»";"1"
"11";"TYPE_3_OTHER";"Согласно постулату с), можно из точки А описать окружность радиусом АВ, а из точки В — радиусом ВА.";"data/input/razbor.txt";"тире";"1"
"12";"TYPE_3_OTHER";"На плоскости будем положительную ось х направлять вправо, а положительную ось y — вверх.";"data/input/razbor.txt";"тире";"1"
"13";"TYPE_3_OTHER";"Координаты вектора X, Y называют компонентами силы, а координату N — моментом вращения вокруг начала 0.";"data/input/razbor.txt";"тире";"2"
"14";"TYPE_1_MULTIPLE_SUBJECTS";"Евклид поступает таким образом: он берёт любые два целые числа m, n и сравнивает, с одной стороны, отрезки ma и nb, с другой — mc и nd.";"data/input/razbor.txt";"тире";"1"
"15";"TYPE_1_MULTIPLE_SUBJECTS";"Что же касается различия между аксиомами и постулатами, то Симон формулировал его в том смысле, что первые связаны с простейшими фактами логики, а вторые — с простейшими фактами пространственной интуиции.";"data/input/razbor.txt";"тире|союз «а»";"1"
"16";"TYPE_3_OTHER";"X и Y представляют собой проекции направленного отрезка (1,2), идущего от 2 к 1, на оси x и y, а N — удвоенную площадь треугольника (0, 1, 2) с направлением обхода 0, 1, 2.";"data/input/razbor.txt";"тире";"1"
"17";"TYPE_2_SINGLE_SUBJECT";"В физике это различие учитывают тем, что вводят понятие размерности: говорят, что X, Y имеют размерность 1 (размерность линии), а N — размерность 2 (размерность площади).";"data/input/razbor.txt";"тире";"1"
"18";"TYPE_1_MULTIPLE_SUBJECTS";"Плюккер больше веса придавал понятию неограниченной прямой, а Грассман — понятию линейного элемента, хотя у каждого из них при случае встречается и другой образ.";"data/input/razbor.txt";"тире|союз «а»";"1"
"19";"TYPE_3_OTHER";"… можно легко заключить, что Х, Y, Z являются проекциями на координатные оси отрезка, идущего от точки 2 к 1, а L M N — удвоенными площадями проекций треугольника (0, 1, 2) с направлением обхода 0, 1, 2 на координатные плоскости.";"data/input/razbor.txt";"тире";"1"
"20";"TYPE_2_SINGLE_SUBJECT";"Если же угол А прямой, то следует провести две прямые: одну — делящую пополам угол А, другую — делящую пополам смежный с ним угол.";"data/input/razbor.txt";"тире";"1"
"21";"TYPE_3_OTHER";"Приняв их за координатные оси, а точку O — за начало координат, введите обозначения: A(0; a), B(0; b) и X(x; y).";"data/input/razbor.txt";"тире";"1"
"22";"TYPE_2_SINGLE_SUBJECT";"Два самолёта появились ночью 4 августа, а три самолёта — четыре ночи спустя.";"data/input/razbor.txt";"тире";"1"
"23";"TYPE_2_SINGLE_SUBJECT";"25 марта американская 3-я армия вступила в Дармштадт, а 29 марта — во Франкфурт.";"data/input/razbor.txt";"тире";"1"
"24";"TYPE_2_SINGLE_SUBJECT";"Немцы мобилизовали 18 миллионов человек, не считая промышленности, а русские — 12 миллионов.";"data/input/razbor.txt";"тире";"1"
"25";"TYPE_1_MULTIPLE_SUBJECTS";"…он (Маршалл) на основании имеющихся у него данных предупреждал русских, что в марте месяце будут два серьёзных контрудара немцев на восточном фронте, из коих один будет направлен из Померании на Торн, а другой — из района Моравска Острава на Лодзь.";"data/input/razbor.txt";"тире|союз «а»";"1"
"26";"TYPE_2_SINGLE_SUBJECT";"На самолёте установили форсированные швецовские (А.Д.Швецов, конструктор) двигатели, которые позволили увеличить скорость бомбардировщика до 450 км в час, а максимальную дальность — до 6 тысяч км.";"data/input/razbor.txt";"тире";"1"
"27";"TYPE_1_MULTIPLE_SUBJECTS";"Сдавались лишь зерновые культуры, и то в половинном размере от того, что сдавали колхозы, а молоко — в зависимости от условий, но не более 200–300 литров в год с каждой фуражной коровы.";"data/input/razbor.txt";"тире|союз «а»";"1"
"28";"TYPE_2_SINGLE_SUBJECT";"Почти половина рабочих и служащих предприятий авиационной промышленности имела индивидуальные огороды в 1943 году, а свыше 80 процентов — к концу войны.";"data/input/razbor.txt";"тире";"1"
"29";"TYPE_3_OTHER";"Армия огородников и обрабатываемая ими площадь земли к 1945 году выросла в десять раз, а собранный урожай — почти в 15 раз.";"data/input/razbor.txt";"тире";"1"
"30";"TYPE_2_SINGLE_SUBJECT";"В первый же день каменщики уложили 35 тысяч кирпичей, во второй — 42 тысячи, а в третий — 52 тысячи при одном и том же количестве рабочих.";"data/input/razbor.txt";"тире";"2"
"31";"TYPE_3_OTHER";"Приёмная комиссия завода, встречавшая людей, направляла рабочих в бараки, а их семьи — в различные районы области для размещения в населённых пунктах.";"data/input/razbor.txt";"тире";"1"
"32";"TYPE_1_MULTIPLE_SUBJECTS";"Собрались директора, главные инженеры, секретари парткомов заводов, которые выпускали боевые самолёты, но одни давали для них моторы, другие — шасси, третьи — агрегаты, бронекорпуса, винты, установки вооружения, радиаторы и так далее.";"data/input/razbor.txt";"тире";"2"
"33";"TYPE_2_SINGLE_SUBJECT";"В середине ноября наркомат дал меньше самолётов, чем в начале, в конце — меньше, чем в середине, в первой половине декабря — меньше, чем в первых числах.";"data/input/razbor.txt";"тире";"1"
